icao24_callsign,min_vertrate_spd_climb,max_vertrate_spd_climb,min_spd_climb,max_spd_climb,delta_h_climb,vertrate_std_spd_climb,vertrate_avg_spd_climb,std_spd_climb,avg_spd_climb,duration_climb,min_vertrate_spd_cruise,max_vertrate_spd_cruise,min_spd_cruise,max_spd_cruise,delta_h_cruise,vertrate_std_spd_cruise,vertrate_avg_spd_cruise,std_spd_cruise,avg_spd_cruise,duration_cruise,mean_altitude_cruise,std_altitude_cruise,min_vertrate_spd_descent,max_vertrate_spd_descent,min_spd_descent,max_spd_descent,delta_h_descent,vertrate_std_spd_descent,vertrate_avg_spd_descent,std_spd_descent,avg_spd_descent,duration_descent,operatoricao
406ae3_BAW240F,0.0,17.231360000000002,75.11058577385822,241.43268537462777,11696.7,3.4688618217787712,7.704222896551724,43.991753663850766,191.28556128207063,2000,-5.52704,3.90144,233.38811060309845,254.14679097260682,1188.7199999999993,0.521579434221348,0.0031874509803920003,4.7419659718177325,246.6365037238216,5090.0,11703.57294117647,436.75975055638463,-13.98016,1.6256,65.38500264634807,248.3097076748888,-11795.76,3.8642671348392783,-7.863004931506849,59.93637872141705,181.12073074686606,1490,BAW
406cd2_EZY94ZP,0.0,18.85696,75.60926822795426,220.97450834595762,11689.08,3.660030303699684,8.765540000000001,34.90003694256199,191.25572496587222,6650,-2.9260800000000002,0.650239999999999,199.14365788553147,240.25911751975102,-3352.7999999999993,0.22357603700858203,-0.023044904214559,10.702636661374266,213.87936073249566,8210.0,11566.269540229883,627.1409082514673,-19.182080000000006,0.9753600000000001,63.3100629305067,247.25979021407286,-11513.820000000002,4.471430689553901,-6.850605443786983,58.09279431053623,177.37538907173993,7070,EZY
406d90_EZY76YH,0.0,21.45792,79.23439700259094,230.4812465807928,11193.78,4.542756532224957,9.72377247706422,38.2429714902709,193.12231748015006,1130,-0.9753600000000001,4.8768,208.41332192771648,232.5292570745249,30.479999999999563,0.308340130518377,0.013422385321100001,5.527074562613317,219.77137057832505,4550.0,11582.6621559633,6.118773067117555,-32.18688,0.0,55.54327770161167,235.1436806342854,-11361.42,6.074249810054852,-9.100673057851242,56.61868878500363,168.37506439599517,1480,EZY
406fda_EZY69NW,0.0,19.832320000000006,77.03959930453907,237.1609158506696,11117.58,4.2060745892484555,8.898758620689655,43.185258488152506,191.14554095256003,1240,-0.650239999999999,0.650239999999999,54.31222886560499,235.66308487236702,11163.3,0.21636455131912502,0.0040895597484270005,14.194311290800293,227.9179418068943,3170.0,11419.896132596683,1170.1730335583632,-27.31008000000001,0.325119999999999,52.08348537342715,236.734809546669,-11376.66,4.616312350120609,-6.998416410256411,56.58682245858517,166.8835982870022,1910,EZY
44004f_AUA1CV,0.0,21.78304,50.457489952318475,234.257372582459,10538.46,4.03522227219819,8.510980338983051,47.00694490305247,188.2320410779677,1250,-0.9753600000000001,0.650239999999999,229.9242410617101,236.0513274500328,0.0,0.21932068214421202,-0.008128,1.582697276108537,232.88318117685677,830.0,10667.0475,5.605437120908386,-13.32992,0.325119999999999,53.42297214310174,236.0513274500328,-10431.779999999999,3.719425446396238,-6.947422411347518,52.570183469422496,164.8363421742347,1490,AUA
4400b9_EJU79QB,0.325119999999999,22.43328,84.93313082866987,245.73520380678286,11300.46,4.10452406970128,8.233910303030305,41.47262303708604,202.63358853321984,1370,-0.650239999999999,0.650239999999999,226.5219084327901,235.6091740980461,7.619999999998981,0.20731731046453603,-0.007740952380952001,2.404632979529928,231.08266773957388,1730.0,11583.125714285712,6.19770757034077,-26.65984000000001,0.650239999999999,69.35079112229744,246.04840625396926,-11407.14,5.972345442695126,-8.764915409836066,53.75018557253515,193.57578223889917,1490,EZY
44010d_AUA1HZ,-0.325119999999999,19.182080000000006,49.592508331005476,209.07766191604625,9936.48,3.569074521374758,10.414799101123597,39.94000742884657,173.83845386595934,940,-0.650239999999999,0.650239999999999,201.75913905611915,213.82188918293784,7.619999999998981,0.189939804509019,0.006502399999999,3.686988759201933,209.01293533387695,2090.0,10066.8201,107.79934262015088,-13.65504,0.0,70.52387439266825,216.33578283864705,-9860.279999999999,2.874760766320088,-6.758555151515153,47.63376459863443,158.77702086288858,1430,AUA
44010d_AUA562,0.0,19.182080000000006,53.800611565858915,252.62605349731808,10218.42,3.297428363012371,9.99225191489362,55.76820239831144,197.62857821822007,1010,-0.650239999999999,2.9260800000000002,245.06386487339745,250.36726856510018,30.480000000001382,0.45021346073767105,0.072248888888888,1.7588708169658651,247.26748855813977,650.0,10667.758095238096,9.177557981670034,-9.7536,0.0,64.65846876056834,248.01803550841086,-10523.22,2.679342749479088,-6.500302451612904,55.59329509663489,173.71580905650828,1670,AUA
440128_EJU19AC,0.0,22.7584,81.22515245742136,216.00829099787464,9410.7,4.364939681097367,10.542655280898877,38.433039140153376,173.4241693810613,950,-0.325119999999999,0.325119999999999,205.639296698116,216.3908262219831,-7.6200000000008,0.16631476753152502,0.0,3.006795968454369,210.94517455758486,1130.0,9752.965,6.599113576837392,-13.0048,0.325119999999999,64.65846876056834,209.8654105392623,-9654.539999999999,2.9570849760285833,-6.581760000000002,40.00749290071378,170.0057951559945,1550,EZY
44012f_AUA562,4.8768,20.807679999999998,71.26117209155043,239.43983460799197,10149.84,3.631342803219175,10.670161702127661,51.59482894473014,191.96656419229092,950,-3.57632,1.300479999999999,228.41892921482201,232.9585116080289,914.3999999999996,0.5288727995507191,-1.009293658750142e-17,1.272561438073101,230.2904019581924,7790.0,10796.748311688314,316.6068722090643,-9.42848,0.325119999999999,66.91925834623585,233.61932378031486,-10279.380000000001,2.239747333243152,-6.004560000000001,45.19238536480276,174.093583435961,1730,AUA
