,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,time_s,phase,color
861,0 days 02:23:50.000000000,4bb859,41.83821855965307,26.622364132903343,231.5260923113856,129.95227404781022,0.0,PGT13K  ,False,False,False,6434.0,11277.6,11681.46,1602469438.65,1602469439.573,8630.0,CR,5
862,0 days 02:24:00.000000000,4bb859,41.8236477092161,26.645678143168613,231.59123865272144,129.77297963985708,0.0,PGT13K  ,False,False,False,6434.0,11277.6,11689.08,1602469449.539,1602469449.914,8640.0,CR,5
863,0 days 02:24:10.000000000,4bb859,41.81011962890625,26.667563698508523,230.93436427360402,129.57678140322665,0.0,PGT13K  ,False,False,False,6434.0,11277.6,11689.08,1602469459.788,1602469459.909,8650.0,CR,5
864,0 days 02:24:20.000000000,4bb859,41.80079056044757,26.6826611895894,231.33111523192227,129.49560264402078,0.0,PGT13K  ,False,False,False,6434.0,11277.6,11689.08,1602469466.822,1602469469.664,8660.0,CR,5
865,0 days 02:24:30.000000000,4bb859,41.78388977050781,26.710073297674004,231.33111523192227,129.49560264402078,0.0,PGT13K  ,False,False,False,6434.0,11277.6,11689.08,1602469479.663,1602469479.947,8670.0,CR,5
866,0 days 02:24:40.000000000,4bb859,41.77166748046875,26.729861172762785,231.33111523192227,129.49560264402078,0.0,PGT13K  ,False,False,False,6434.0,11277.6,11689.08,1602469488.859,1602469489.788,8680.0,CR,5
867,0 days 02:24:50.000000000,4bb859,41.761128053826795,26.746918434320488,230.93436427360402,129.57678140322665,0.0,PGT13K  ,False,False,False,6434.0,11277.6,11689.08,1602469496.8720002,1602469499.543,8690.0,CR,5
868,0 days 02:25:00.000000000,4bb859,41.75093078613281,26.763444380326703,230.93436427360402,129.57678140322665,-0.32512,PGT13K  ,False,False,False,6434.0,11277.6,11689.08,1602469504.6179998,1602469509.857,8700.0,DE,3
869,0 days 02:25:10.000000000,4bb859,41.730822547007406,26.79590979287791,231.65865153483867,129.59378782770537,-2.60096,PGT13K  ,False,False,False,6434.0,11262.36,11673.84,1602469519.803,1602469519.928,8710.0,DE,3
870,0 days 02:25:20.000000000,4bb859,41.719137935315146,26.8147526230923,231.98686620732,129.6916954737269,-5.2019199999999985,PGT13K  ,False,False,False,6434.0,11231.88,11643.36,1602469528.548,1602469529.918,8720.0,DE,3
